gene	length	GC%
OR4F5	60	40
OR4F16	19	63.1578947368421
SAMD11	509	80.943025540275
NOC2L	16	62.5
KLHL17	110	74.5454545454545
PLEKHN1	50	64
HES4	199	77.3869346733668
ISG15	251	61.7529880478088
AGRN	450	73.5555555555556
RNF223	300	69.6666666666667
C1orf159	165	66.6666666666667
TTLL10	196	63.265306122449
TNFRSF18	21	61.9047619047619
TNFRSF4	26	61.5384615384615
SDF4	329	72.0364741641337
B3GALT6	42	88.0952380952381
C1QTNF12	32	81.25
UBE2J2	188	77.6595744680851
SCNN1D	1144	62.9370629370629
ACAP3	115	86.0869565217391
PUSL1	47	74.468085106383
INTS11	534	63.6704119850187
CPTP	376	71.2765957446808
TAS1R3	66	66.6666666666667
DVL1	353	87.5354107648725
MXRA8	514	64.0077821011673
AURKAIP1	401	74.0648379052369
CCNL2	29	62.0689655172414
MRPL20	73	72.6027397260274
ANKRD65	144	57.6388888888889
TMEM88B	257	66.9260700389105
VWA1	59	79.6610169491525
ATAD3C	995	53.0653266331658
ATAD3B	120	78.3333333333333
ATAD3A	94	80.8510638297872
TMEM240	278	83.8129496402878
SSU72	27	77.7777777777778
FNDC10	120	89.1666666666667
MIB2	369	73.1707317073171
MMP23B	41	65.8536585365854
CDK11B	104	66.3461538461538
SLC35E2B	912	66.4473684210526
CDK11A	113	54.8672566371681
NADK	205	50.7317073170732
GNB1	363	72.1763085399449
CALML6	173	58.9595375722543
TMEM52	241	71.3692946058091
CFAP74	105	65.7142857142857
GABRD	79	81.0126582278481
PRKCZ	220	84.0909090909091
SKI	448	89.0625
RER1	125	74.4
PEX10	62	80.6451612903226
PLCH2	161	78.8819875776398
PANK4	9	22.2222222222222
HES5	99	80.8080808080808
TNFRSF14	294	64.6258503401361
PRXL2B	46	71.7391304347826
MMEL1	188	64.8936170212766
TTC34	182	68.6813186813187
ACTRT2	220	64.5454545454545
PRDM16	57	59.6491228070175
ARHGEF16	166	78.9156626506024
MEGF6	240	75.8333333333333
TPRG1L	58	77.5862068965517
WRAP73	59	84.7457627118644
TP73	159	81.1320754716981
CCDC27	37	59.4594594594595
SMIM1	249	74.2971887550201
LRRC47	22	77.2727272727273
CEP104	337	73.8872403560831
DFFB	323	64.7058823529412
C1orf174	65	78.4615384615385
AJAP1	817	81.2729498164015
NPHP4	268	73.5074626865672
CHD5	298	80.5369127516778
RP1-120G22.12	88	44.3181818181818
RPL22	22	63.6363636363636
RNF207	184	72.2826086956522
ICMT	53	81.1320754716981
HES3	78	64.1025641025641
GPR153	383	79.6344647519582
ACOT7	499	59.1182364729459
HES2	99	71.7171717171717
ESPN	168	77.3809523809524
TNFRSF25	66	74.2424242424242
PLEKHG5	729	59.6707818930041
NOL9	11	72.7272727272727
TAS1R1	67	61.1940298507463
ZBTB48	212	67.4528301886792
KLHL21	184	75.5434782608696
PHF13	336	77.0833333333333
THAP3	27	74.0740740740741
DNAJC11	16	50
CAMTA1	77	84.4155844155844
VAMP3	88	68.1818181818182
PER3	310	68.3870967741936
UTS2	321	42.0560747663551
TNFRSF9	261	50.9578544061303
PARK7	106	59.4339622641509
ERRFI1	225	68.4444444444444
SLC45A1	97	77.319587628866
RERE	635	56.0629921259843
ENO1	120	60.8333333333333
CA6	5	80
SLC2A7	78	58.974358974359
SLC2A5	99	53.5353535353535
GPR157	75	82.6666666666667
H6PD	303	78.2178217821782
SPSB1	327	69.4189602446483
SLC25A33	227	81.4977973568282
TMEM201	9	77.7777777777778
PIK3CD	208	60.5769230769231
CLSTN1	232	77.1551724137931
CTNNBIP1	318	71.6981132075472
LZIC	310	55.8064516129032
NMNAT1	97	53.6082474226804
RBP7	53	81.1320754716981
UBE4B	839	61.2634088200238
KIF1B	388	69.5876288659794
PGD	54	72.2222222222222
CENPS-CORT	416	67.5480769230769
CENPS	507	59.5660749506903
CORT	193	52.3316062176166
DFFA	71	67.6056338028169
PEX14	17	52.9411764705882
CASZ1	316	59.1772151898734
TARDBP	102	62.7450980392157
MASP2	32	71.875
SRM	75	88
EXOSC10	38	57.8947368421053
MTOR	121	74.3801652892562
ANGPTL7	225	52.4444444444444
UBIAD1	334	68.562874251497
DISP3	221	73.3031674208145
FBXO44	498	59.4377510040161
FBXO6	59	74.5762711864407
MAD2L2	929	69.2142088266954
DRAXIN	154	79.8701298701299
AGTRAP	73	71.2328767123288
MTHFR	1450	56.0689655172414
CLCN6	167	65.2694610778443
NPPA	99	59.5959595959596
NPPB	112	66.9642857142857
KIAA2013	190	82.1052631578947
